cluster,xGeo,yGeo,conf
283,757555.4784307545,6267060.577035404,0.2663645446300506
284,757636.7477321078,6267055.785028918,0.6299870610237122
285,757647.3648462566,6267058.150190911,0.6204482316970825
286,757650.7223443113,6267057.773960219,0.7379330992698669
287,757686.6787648882,6267056.273674026,0.5646324753761292
288,757697.824416834,6267055.944959065,0.6620373725891113
289,757368.1866238933,6267054.4183813995,0.5291652679443359
290,757370.745461038,6267054.954548559,0.4357571899890899
291,757553.4728165632,6267057.9898382975,0.2839448153972626
292,757556.4626545508,6267055.486376249,0.5487244725227356
293,757603.5202198019,6267055.444582968,0.4150286018848419
294,757663.4801445445,6267054.061525135,0.3134756982326507
295,757672.2140372461,6267057.923710167,0.2524467706680298
296,757684.934461183,6267053.317205875,0.3659002184867859
297,757704.8391772296,6267055.191468748,0.8168496489524841
298,757269.0026093927,6267052.719138196,0.5113531947135925
299,757514.2006901264,6267051.201507445,0.6688907146453857
300,757613.0219698614,6267051.614843278,0.3139299750328064
301,757631.5434160033,6267051.458937329,0.3982999622821808
302,757653.5932002133,6267052.180224328,0.3408483564853668
303,757243.5132798734,6267048.612280738,0.4390490353107452
304,757317.3091568747,6267050.017896404,0.467365562915802
305,757483.1928070551,6267048.439801603,0.4993226230144501
306,757502.3296732372,6267052.893437265,0.4249027967453003
307,757527.3442302461,6267047.4951745635,0.5679094791412354
308,757573.4136893542,6267048.346803087,0.3445009291172027
309,757253.7989040114,6267046.640026593,0.7663934230804443
310,757346.3236154532,6267048.669560521,0.3240078687667846
311,757348.4335713005,6267047.089017897,0.3256705999374389
312,757369.7600678271,6267045.822311013,0.341235339641571
313,757631.6028026814,6267044.915733673,0.6214020252227783
314,757645.1571146025,6267047.346936727,0.495853990316391
315,757648.9579242181,6267046.115438293,0.5235469341278076
316,757685.6418929165,6267045.977564423,0.4408267736434936
317,757699.8291049069,6267048.757402419,0.2542305886745453
318,757703.4194065029,6267047.01809502,0.7357784509658813
319,757706.0593528775,6267050.334481305,0.3316885828971863
320,757714.8507700032,6267046.904720336,0.3502576053142547
321,757188.0892318977,6267044.503498133,0.756201446056366
322,757511.0441504521,6267046.671302884,0.2588303387165069
323,757562.93200872,6267043.395030468,0.456720232963562
324,757619.0891550628,6267044.779289091,0.7095705270767212
