                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1516,                 2.2533,                 1.4872,                 0.2816,                0.35294,                0.28125,                0.09503,                 1.1971,                 3.5488,                0.85798,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.9937,                 2.1224,                 1.4669,                 0.4503,                0.41176,                0.26104,                0.07574,                 1.3292,                 2.5389,                0.89917,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.0151,                 2.1574,                 1.5008,                0.23258,                0.23195,                0.15851,                0.05523,                 1.4602,                 2.7949,                0.99198,               0.001307,               0.001307,               0.001307
                     38,                 1.9371,                  2.138,                 1.4507,                0.47323,                0.47059,                0.30923,                0.09729,                 1.1928,                 3.2942,                0.87136,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.9143,                 2.0341,                 1.4529,                0.50165,                0.47059,                0.40256,                 0.1276,                 1.3173,                 2.5059,                0.92464,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.9663,                 2.0699,                  1.452,                 0.6434,                0.52941,                0.50841,                0.20151,                 1.0642,                 2.2579,                0.76536,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.9258,                  1.976,                 1.4195,                0.50659,                0.47059,                0.45349,                0.13097,                 1.2961,                 2.2404,                0.93834,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.9642,                 2.0865,                 1.4843,                0.35786,                0.45937,                 0.2361,                0.07714,                 1.5368,                 1.9905,                 1.1282,               0.001208,               0.001208,               0.001208
                     43,                 1.9582,                 2.0441,                 1.4345,                0.42367,                0.47059,                0.29801,                0.12746,                  1.187,                 1.5929,                0.85187,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.982,                 2.0509,                 1.4835,                0.72153,                0.47059,                0.50316,                0.16372,                 1.2115,                 1.6625,                0.84831,              0.0011684,              0.0011684,              0.0011684
                     45,                  1.985,                 2.1242,                 1.4561,                0.58286,                0.29412,                0.25259,                0.05423,                 1.5721,                 2.3396,                 1.1194,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.9813,                 2.1712,                 1.4806,                0.33439,                0.11765,                0.07295,                0.01523,                 1.6075,                 50.506,                 1.1604,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.9434,                 1.9637,                 1.4196,                 0.3248,                0.35294,                0.27863,                0.08184,                 1.3456,                 4.6648,                0.95456,               0.001109,               0.001109,               0.001109
                     48,                 1.8723,                 1.9572,                 1.4253,                0.48288,                0.58824,                0.46244,                0.15427,                 1.1885,                 2.0411,                0.83951,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.8223,                 1.7532,                 1.3796,                 0.7658,                0.47059,                0.50851,                 0.1719,                 1.0289,                 1.6893,                0.74136,              0.0010694,              0.0010694,              0.0010694
                     50,                  1.942,                 2.0542,                 1.4779,                0.42641,                0.58824,                0.39382,                0.13387,                 1.1169,                  1.602,                0.79768,              0.0010496,              0.0010496,              0.0010496
