                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4935,                 1.0539,                 1.1123,                0.39434,                0.35294,                0.28801,                0.13636,                 1.1502,                 2.0198,                0.77012,              0.0013466,              0.0013466,              0.0013466
                     36,                  1.514,                 1.0112,                 1.1313,                0.63461,                0.35294,                0.38712,                0.16665,                 1.4235,                 1.4136,                0.91556,              0.0013268,              0.0013268,              0.0013268
                     37,                   1.51,                  1.166,                 1.1348,                0.72279,                0.46093,                0.54682,                0.28367,                0.91591,                0.82198,                0.69327,               0.001307,               0.001307,               0.001307
                     38,                 1.4632,                 1.0881,                 1.0879,                0.60385,                0.29412,                0.25322,                0.08622,                 1.7129,                 1.1314,                 1.0739,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.6369,                 1.1961,                 1.1922,                0.87648,                0.52941,                0.55289,                0.32519,                0.97664,                0.98325,                0.70483,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.4884,                 1.0699,                 1.0618,                0.69283,                0.52941,                0.55983,                0.34381,                0.82408,                 1.0396,                0.65861,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.4978,                 1.0914,                 1.0685,                0.80705,                0.52941,                 0.5792,                  0.384,                0.84246,                0.86071,                0.67027,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.6416,                 1.0948,                 1.1849,                0.89709,                  0.514,                0.55573,                0.23167,                 1.1376,                0.83198,                0.80588,               0.001208,               0.001208,               0.001208
                     43,                 1.5854,                 1.0691,                 1.1094,                0.74166,                0.52941,                 0.5795,                 0.3495,                0.85446,                0.71407,                0.65904,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.5816,                 1.2223,                 1.1378,                0.83006,                0.57551,                 0.6294,                0.36633,                0.91754,                0.74334,                0.69583,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.5557,                 1.0656,                 1.1129,                0.79705,                0.52941,                0.60208,                0.39233,                0.84998,                0.79316,                0.65991,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.6293,                   1.12,                 1.1558,                0.95748,                0.52941,                0.61198,                0.32863,                0.98153,                0.83102,                0.74594,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.7237,                 1.1269,                 1.2351,                 0.8168,                0.58824,                0.64311,                0.37762,                0.97693,                 0.7405,                0.71047,               0.001109,               0.001109,               0.001109
                     48,                 1.5489,                 1.0256,                 1.1357,                0.89284,                0.47059,                0.55822,                 0.2621,                 1.0695,                0.82539,                0.75494,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.5992,                 1.0808,                 1.1152,                 0.7684,                0.52941,                0.60583,                0.25022,                 1.2099,                0.73333,                0.82058,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.5013,                 1.0115,                 1.0889,                0.74813,                0.58824,                0.61687,                0.32143,                 1.0131,                0.65201,                0.72434,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.5508,                 0.9818,                 1.1527,                0.82472,                0.58824,                0.62936,                0.32999,                0.91806,                0.77913,                0.68475,              0.0010298,              0.0010298,              0.0010298
                     52,                  1.447,                0.93642,                 1.0682,                0.87034,                0.52941,                0.62994,                0.33686,                0.88714,                0.72414,                0.68871,                0.00101,                0.00101,                0.00101
                     53,                 1.4021,                0.91691,                 1.0914,                0.85881,                0.52941,                 0.6457,                0.39794,                0.84662,                0.64673,                0.66455,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.4499,                 0.9908,                 1.0986,                0.85765,                0.58824,                0.65816,                0.39644,                0.88674,                0.57335,                0.66817,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.5787,                 1.0139,                 1.1765,                 0.5544,                0.29289,                0.28535,                0.18609,                 0.9836,                 1.3622,                0.71325,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.3945,                 1.0013,                 1.0742,                0.72092,                0.29412,                0.39475,                0.27088,                0.88659,                 1.0423,                0.67618,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.4136,                0.95751,                 1.0857,                0.78945,                0.47059,                0.59318,                0.33235,                 0.8624,                0.72171,                0.67456,               0.000911,               0.000911,               0.000911
                     58,                 1.4593,                 1.0315,                 1.0784,                0.63461,                0.52941,                  0.546,                0.36347,                 0.8044,                0.95747,                0.62446,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.4887,                0.95979,                 1.1482,                0.81764,                0.29412,                0.33756,                0.22847,                0.86199,                 1.5705,                0.68745,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.4472,                0.98158,                 1.0722,                0.47053,                0.29412,                0.28078,                0.15535,                0.93338,                 3.6246,                0.72566,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.4082,                0.99338,                 1.0892,                0.35886,                0.36263,                0.34848,                 0.1883,                0.95825,                 2.4137,                0.72461,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.3814,                 0.9205,                 1.0772,                0.65023,                0.52941,                0.56448,                0.30636,                 0.9258,                 1.0631,                 0.7207,               0.000812,               0.000812,               0.000812
