cluster,xGeo,yGeo,conf
0,757465.5846167272,6267280.5117550185,0.2813523709774017
1,757450.2126654721,6267278.009493533,0.4654325544834137
2,757512.1498295105,6267269.918081479,0.7394165396690369
3,757513.6323435148,6267273.068808557,0.2647767961025238
4,757440.2357872303,6267264.035021701,0.6995505690574646
5,757530.6059373086,6267267.1099807015,0.4126551747322082
6,757421.8964345595,6267253.231141664,0.6693315505981445
7,757418.2213570839,6267251.874794333,0.4153996109962463
8,757553.530010703,6267227.027620271,0.3564167618751526
9,757562.4671868151,6267212.961974374,0.2611893117427826
10,757567.6531074912,6267207.8081738325,0.3655075430870056
11,757566.2683100151,6267204.988561481,0.3919337689876556
12,757424.6863715888,6267195.25971946,0.7071857452392578
13,757575.1010180169,6267195.271649785,0.7523165345191956
14,757405.8902808195,6267190.879241495,0.3071325123310089
15,757542.6900739139,6267190.92128393,0.3126777708530426
16,757432.3342851466,6267190.564459234,0.3483706712722778
17,757430.8914362286,6267188.936789759,0.5008683204650879
18,757527.6471373544,6267188.67534162,0.7180733680725098
19,757540.2609460237,6267190.053585524,0.7758251428604126
20,757543.3319521612,6267190.364713936,0.4210938811302185
21,757533.0738351675,6267184.306791716,0.3406282663345337
22,757491.5003754213,6267180.823647438,0.4068490862846374
23,757605.7065486079,6267180.823164552,0.3253982663154602
24,757614.827522971,6267182.31221101,0.3236905634403229
25,757459.7692472404,6267175.802430182,0.3303214013576507
26,757464.2520631021,6267179.184313088,0.2506719529628753
27,757590.4232475823,6267180.330125249,0.2922488749027252
28,757590.9488820254,6267176.236661613,0.4891981780529022
29,757595.9525562644,6267176.885127626,0.4700124859809875
30,757450.9401892897,6267173.409909484,0.7154099941253662
31,757546.6361688639,6267174.870083723,0.5128782987594604
32,757589.2867120272,6267175.864945917,0.2611754834651947
33,757594.1459360884,6267175.011986052,0.7803658246994019
34,757590.8543769958,6267171.957967841,0.7761843800544739
35,757588.5252723759,6267168.306448131,0.4331347942352295
36,757455.8791470772,6267167.9025923805,0.6092985272407532
37,757458.5999924236,6267167.490817583,0.8035064339637756
38,757663.7460730141,6267167.281272381,0.3732518255710602
39,757464.0408886957,6267161.860662292,0.7847607731819153
40,757503.0242692594,6267165.345319218,0.4515794217586517
41,757505.1088947719,6267158.476582139,0.3133120536804199
42,757582.9564956492,6267162.079587548,0.5006641149520874
43,757518.3549712887,6267158.730077266,0.2699885964393616
44,757480.7349847918,6267154.08810538,0.5147911310195923
45,757606.0657925075,6267150.823493867,0.5006215572357178
46,757492.2832437941,6267150.271868903,0.7699956297874451
47,757500.6722444957,6267150.34176965,0.3266382813453674
48,757668.8685608944,6267146.96039465,0.3952269256114959
49,757456.9992673313,6267147.289564802,0.2933218479156494
50,757667.4914561063,6267143.548704374,0.5158019065856934
51,757380.2072594231,6267145.12039934,0.3395452499389648
52,757381.0246180287,6267140.81285712,0.3294547200202942
53,757495.5902946767,6267141.146658371,0.8451120853424072
54,757675.8615047401,6267142.435736924,0.4675129950046539
55,757380.5001995629,6267140.49196568,0.5981196761131287
56,757664.6673241919,6267143.032347948,0.3020191192626953
57,757469.5816734019,6267137.679815963,0.8458531498908997
58,757670.6331822937,6267140.093254044,0.3232772350311279
59,757603.4709084509,6267133.509519965,0.344148188829422
60,757456.0833630628,6267135.247515968,0.404571533203125
61,757459.2344652491,6267130.8749064,0.5010066032409668
62,757468.3903381051,6267131.090902953,0.3129206001758575
63,757650.9870040736,6267133.0930510005,0.4930261969566345
64,757673.5841001859,6267130.92714098,0.6153234243392944
65,757329.2134863053,6267132.499901696,0.423143059015274
66,757330.9852973474,6267131.755577891,0.5530680418014526
67,757392.5374205081,6267133.022377731,0.4589387774467468
68,757400.3637381631,6267129.921950851,0.7642421722412109
69,757456.7605552739,6267130.4564720085,0.4787741601467132
70,757623.9428158766,6267128.453396528,0.3809249103069305
71,757388.5165184505,6267127.464582284,0.4172442555427551
72,757402.5559342569,6267130.520278259,0.3921642303466797
73,757622.6627706653,6267123.64930269,0.4142796695232391
74,757324.4118875928,6267120.778513222,0.4033157527446747
75,757336.4263173109,6267122.668031125,0.4049151539802551
76,757358.4114761938,6267125.41519287,0.6235994696617126
77,757469.867759324,6267121.698779859,0.8253907561302185
78,757664.656824281,6267125.05224875,0.4160480499267578
79,757573.0852653448,6267119.699304087,0.7712444067001343
80,757346.7158572912,6267116.616349841,0.799087643623352
81,757353.1627537971,6267115.883065729,0.3436852097511291
82,757305.537916562,6267113.272873296,0.7968220710754395
83,757311.2460400723,6267114.636392556,0.7397056221961975
84,757351.4659423383,6267113.096535456,0.7943687438964844
85,757665.9589369325,6267117.008627324,0.3754687309265136
86,757680.5561689204,6267113.694114058,0.5407204031944275
87,757678.5506963832,6267116.169542044,0.4316864013671875
88,757320.6688968008,6267114.458045705,0.3568485081195831
89,757359.290084309,6267115.535119928,0.2653828263282776
90,757617.3323986595,6267115.585432804,0.2768436372280121
91,757652.8626552885,6267114.067565917,0.298348605632782
92,757293.4293241715,6267109.470699101,0.3635214269161224
93,757310.4277852839,6267110.3131320765,0.6096577048301697
94,757354.3199836379,6267109.878025024,0.4266057014465332
95,757663.3151370948,6267111.553085565,0.5350172519683838
96,757288.8391459391,6267106.24763294,0.7104246616363525
97,757359.9832968366,6267105.988199235,0.7448177337646484
98,757543.849238312,6267107.311258953,0.7246400713920593
99,757303.6526982402,6267103.473322361,0.4176344573497772
100,757473.8150647945,6267103.309684961,0.3603981137275696
101,757574.0528189759,6267104.551302943,0.8038841485977173
102,757692.8370896643,6267103.484449356,0.4919071197509765
103,757277.7182406848,6267100.796192258,0.2654356360435486
104,757613.8893283075,6267101.709480404,0.4071264266967773
105,757652.6176123274,6267100.628496777,0.4737517237663269
106,757697.9171659024,6267098.321772997,0.3924243748188019
107,757571.1582387154,6267097.929571836,0.7378138303756714
108,757640.8257094687,6267096.070134311,0.3020475804805755
109,757655.9762415579,6267098.546276658,0.2587276101112366
110,757373.0559315631,6267093.482153676,0.6282899379730225
111,757266.261329717,6267092.045070796,0.3818922042846679
112,757362.2181987123,6267091.668123457,0.6717731952667236
113,757362.9100996333,6267090.285863594,0.7721831202507019
114,757373.4804115361,6267088.317406445,0.2619648873806
115,757458.2471763259,6267088.407325714,0.272902101278305
116,757563.4294236231,6267088.166029025,0.7499119639396667
117,757607.8818376884,6267089.560940699,0.7856470346450806
118,757665.0134193908,6267088.789755422,0.8178069591522217
119,757603.5580085901,6267087.742764251,0.4960892796516418
120,757632.8957083412,6267085.843165576,0.3797588646411896
121,757263.3030560281,6267087.822595036,0.3669663965702057
122,757455.1558447545,6267085.122827857,0.3440309464931488
123,757479.4452507203,6267083.951652822,0.8261794447898865
124,757653.3754379544,6267083.470247167,0.3570044934749603
125,757693.4065056602,6267084.191932648,0.2825761437416076
126,757365.6733213725,6267081.978899675,0.4236797094345093
127,757378.941268391,6267080.838832527,0.3053695261478424
128,757432.6727966135,6267082.156445055,0.2928193807601928
129,757439.6301104646,6267080.9745905725,0.587369441986084
130,757446.3525362974,6267084.062612026,0.250143438577652
131,757659.8304019632,6267082.685034563,0.3345064520835876
132,757698.1469532124,6267083.1840621615,0.4171554148197174
133,757268.6304524457,6267078.429845541,0.2976504564285278
134,757365.5356396175,6267082.938879715,0.612208902835846
135,757435.5241701668,6267081.672836958,0.26368448138237
136,757479.857900791,6267078.232152661,0.632795512676239
137,757670.7793182796,6267078.316292136,0.5253899693489075
138,757681.6816068629,6267079.512340813,0.597419798374176
139,757470.617372938,6267076.537095988,0.7816637754440308
140,757489.0457054889,6267075.870812505,0.5639044046401978
141,757645.1074989447,6267075.701089362,0.3041431903839111
142,757670.5738792485,6267077.940753966,0.4795931577682495
143,757264.0391189945,6267074.532934262,0.3279579877853393
144,757266.0139550371,6267073.500449329,0.4401721954345703
145,757620.938628382,6267073.493460386,0.2992645800113678
146,757635.8687063347,6267075.209187348,0.5124075412750244
147,757263.4735351157,6267074.909543736,0.3735257387161255
148,757409.4486568039,6267071.735440164,0.4913503229618072
149,757418.0982603794,6267075.40042131,0.3383830189704895
150,757478.5271172778,6267071.03643345,0.6141741275787354
151,757595.8867188832,6267072.232305675,0.4976776838302612
152,757670.9753549388,6267074.396222203,0.2760069966316223
153,757633.0366353332,6267069.981564254,0.6814482808113098
154,757644.8124471968,6267073.062403068,0.3435061275959015
155,757260.5665028756,6267069.674861102,0.4356618523597717
156,757267.3573435014,6267070.475825544,0.4583466053009033
157,757373.2555564782,6267067.341850467,0.632677435874939
158,757493.5477651013,6267065.968625515,0.2605814337730407
159,757503.1068233288,6267067.376239912,0.5500413179397583
160,757579.0854138797,6267070.467795755,0.2727615237236023
161,757618.5209598867,6267065.985321372,0.6544873118400574
162,757627.29022365,6267070.341357833,0.6649277806282043
163,757640.2308836073,6267068.559660683,0.4284341931343078
164,757498.0592394043,6267063.41435679,0.4660279750823974
165,757588.1929272697,6267064.62134344,0.371260404586792
166,757624.7110231734,6267063.176916341,0.6477572917938232
167,757639.9229962225,6267067.669629855,0.4933809638023376
168,757683.4709286047,6267063.537095754,0.2825278043746948
169,757311.2681839531,6267063.324399411,0.3805262446403503
170,757581.5958744949,6267063.011920421,0.4131124913692474
171,757708.4697290985,6267061.597271829,0.5294960141181946
172,757379.3193376472,6267059.8277415205,0.726844310760498
173,757386.289953638,6267060.330232374,0.7111645340919495
174,757661.4734262889,6267062.872309505,0.2518559098243713
175,757667.6971320459,6267058.311773743,0.5496371984481812
176,757706.9372287106,6267059.235288523,0.712641716003418
177,757228.5127650304,6267055.773871212,0.2506232559680938
178,757498.5250998205,6267059.180873453,0.2701310813426971
179,757636.7472595681,6267055.784957008,0.6555400490760803
180,757647.4345756238,6267059.008761018,0.346291035413742
181,757650.7223443113,6267057.773960219,0.7379330992698669
182,757697.824416834,6267055.944959065,0.6620373725891113
183,757368.1844092078,6267054.4203493325,0.5296939611434937
184,757370.5363827115,6267054.474500089,0.4358246326446533
185,757647.3444242021,6267057.898736378,0.6204482316970825
186,757663.4801445445,6267054.061525135,0.3134756982326507
187,757672.2140372461,6267057.923710167,0.2524467706680298
188,757704.8392061178,6267055.1915903585,0.8168496489524841
189,757371.0035126014,6267055.551080217,0.3599086999893188
190,757514.200829629,6267051.202601671,0.6688907146453857
191,757631.5434720783,6267051.459834353,0.4719360768795013
192,757653.591913051,6267052.184090584,0.50264972448349
193,757243.5132798734,6267048.612280738,0.4390490353107452
194,757317.3090999475,6267050.017848937,0.4711703658103943
195,757502.3294243878,6267052.895166694,0.4425118267536163
196,757527.5744161671,6267048.490772217,0.2819992005825043
