                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6861,                 1.1051,                0.98563,                0.87122,                0.76923,                 0.7875,                0.27843,                 1.0674,                0.66502,                0.52555,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.6208,                 1.2027,                0.88712,                 0.7724,                0.84615,                0.81258,                0.32761,                 1.1229,                0.58064,                0.54414,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.7252,                 1.1617,                0.92122,                0.91662,                0.84565,                0.82284,                0.26925,                 1.1976,                0.62116,                0.55712,               0.001307,               0.001307,               0.001307
                     38,                 1.5658,                 1.0874,                0.86809,                0.88938,                0.84615,                0.81043,                0.24424,                 1.1678,                0.67299,                0.55261,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.7356,                 1.2507,                0.98869,                0.77497,                0.61538,                0.66842,                0.22321,                 1.2161,                0.68401,                0.55909,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.6768,                 1.0122,                0.95428,                      1,                0.67119,                0.72213,                0.28492,                 1.0954,                0.74464,                0.54843,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.8294,                 1.2279,                 1.0102,                      1,                0.60302,                0.71913,                0.29491,                 1.0779,                 0.7708,                0.53799,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.5729,                  1.071,                0.89018,                      1,                0.50651,                0.62751,                0.26964,                 1.0366,                 1.0177,                0.54088,               0.001208,               0.001208,               0.001208
                     43,                 1.6234,                  1.125,                0.88535,                0.88845,                0.61298,                0.68936,                0.32145,                0.98513,                0.78087,                0.51724,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.6605,                 1.0438,                0.95941,                0.78016,                0.82022,                0.82002,                0.37077,                 1.0119,                0.52922,                0.51095,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.5148,                0.99867,                0.88146,                0.83561,                0.84615,                0.91578,                0.37245,                 1.0963,                0.55529,                0.55497,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.6748,                0.99014,                0.94045,                0.78506,                0.92308,                0.91083,                0.43553,                 1.0029,                0.54865,                0.53235,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.6991,                 1.0714,                0.96539,                0.92003,                0.88648,                0.93402,                0.40158,                0.96098,                 0.5463,                0.51414,               0.001109,               0.001109,               0.001109
                     48,                 1.5907,                 1.1722,                0.88918,                0.92381,                      1,                0.96786,                0.45739,                0.91279,                0.49411,                0.50277,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.8094,                 1.0445,                0.98285,                0.91925,                0.87711,                0.93022,                0.43479,                0.91411,                0.60512,                0.50986,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.5993,                 1.0313,                0.90566,                      1,                0.89261,                0.92634,                0.33201,                 1.0233,                0.65263,                0.53009,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.6434,                 1.0524,                0.97878,                0.59698,                0.61538,                0.56548,                0.14895,                 1.3356,                0.74704,                0.59826,              0.0010298,              0.0010298,              0.0010298
                     52,                  1.891,                 1.0359,                 1.0132,                0.70543,                0.53846,                  0.529,                0.11054,                 1.4176,                0.73386,                0.61396,                0.00101,                0.00101,                0.00101
                     53,                 1.5354,                0.97621,                0.93846,                 0.7588,                0.84615,                0.83261,                0.32372,                 1.0531,                0.55312,                0.52688,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.5859,                 1.0635,                0.85937,                0.84002,                0.92308,                0.92877,                0.41937,                0.93741,                0.48584,                 0.5049,              0.0009704,              0.0009704,              0.0009704
                     55,                  1.481,                0.99121,                 0.8419,                0.86489,                0.98566,                0.95583,                0.42213,                0.89276,                0.49535,                0.49687,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.4042,                0.82394,                0.92167,                0.92531,                      1,                  0.995,                0.42759,                 1.0027,                 0.4573,                0.52882,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.5784,                0.95572,                0.97907,                0.92013,                      1,                0.96786,                0.41605,                  1.021,                0.46961,                0.53092,               0.000911,               0.000911,               0.000911
                     58,                 1.3305,                0.95095,                0.83304,                0.92303,                      1,                   0.99,                0.51915,                0.86875,                0.42756,                0.48958,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.6611,                0.96922,                0.97601,                 0.9204,                      1,                0.97857,                0.53277,                0.80173,                0.41168,                0.47518,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.5132,                0.94407,                0.86172,                0.90594,                0.84615,                 0.9524,                0.45728,                0.92966,                0.51714,                0.49828,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.5245,                0.92419,                0.92123,                0.81872,                0.76923,                0.82463,                0.39193,                 1.0079,                  0.553,                0.51573,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.4062,                0.89949,                 0.8594,                0.98413,                0.76923,                0.85836,                0.40533,                 0.9988,                0.51974,                0.52748,               0.000812,               0.000812,               0.000812
                     63,                 1.6877,                 1.0119,                0.91293,                0.91471,                0.92308,                0.95064,                0.40749,                 1.0081,                0.49721,                0.52993,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.5558,                0.90521,                0.93393,                0.91888,                0.92308,                0.95603,                0.34849,                 1.0002,                0.54501,                0.51209,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.6024,                 1.0212,                0.96067,                0.84143,                0.84615,                0.78438,                0.26537,                 1.1043,                0.61158,                0.53488,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.6055,                 0.9428,                0.94602,                0.91614,                0.84083,                0.91126,                0.33293,                  1.052,                0.58617,                0.52823,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.5173,                0.87007,                 0.9186,                0.70047,                0.92308,                0.87722,                0.40819,                  0.966,                0.57173,                0.50907,               0.000713,               0.000713,               0.000713
                     68,                 1.4262,                0.85321,                0.93244,                0.89465,                0.69231,                 0.8703,                0.38132,                0.99092,                0.54891,                0.51634,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.5737,                 1.0308,                0.95436,                 0.7851,                0.92308,                0.92267,                0.37149,                0.96511,                0.52752,                0.51073,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.5244,                 1.0511,                0.84833,                0.86427,                0.98063,                  0.903,                0.42123,                0.89477,                0.52261,                0.49575,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.3088,                0.88234,                 0.8361,                 0.9054,                0.84615,                  0.864,                0.37101,                0.98617,                0.53147,                0.50977,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.4406,                0.91465,                0.94309,                0.92139,                0.90285,                0.93699,                0.36243,                 1.0133,                0.56966,                0.50569,               0.000614,               0.000614,               0.000614
                     73,                 1.3832,                0.85151,                0.91437,                0.91148,                0.92308,                0.93136,                0.35297,                 1.0172,                0.57806,                0.50452,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.6367,                0.85235,                0.94107,                0.91912,                0.92308,                0.92303,                0.36475,                 1.0121,                0.55292,                0.50336,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.2005,                0.76018,                0.80053,                0.91142,                0.84615,                0.91857,                0.40987,                0.96015,                0.53573,                0.50088,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.3342,                0.85141,                 0.8725,                0.90323,                0.84615,                0.92389,                0.33426,                 1.1074,                0.53623,                0.52494,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.3565,                0.87915,                 0.8992,                0.82023,                0.76923,                0.74114,                0.28008,                  1.143,                0.54601,                0.53361,               0.000515,               0.000515,               0.000515
                     78,                 1.3539,                0.84733,                0.91535,                0.79814,                0.84615,                0.77335,                0.28187,                 1.1167,                0.55729,                0.52703,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.5897,                 0.9029,                0.92042,                0.74615,                 0.9053,                0.78483,                0.28571,                 1.0666,                0.56342,                0.51362,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.3733,                0.77629,                0.86662,                0.81108,                0.99125,                0.95128,                0.36583,                0.97136,                0.51347,                0.49727,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.5411,                0.87299,                0.88879,                0.81062,                0.98843,                0.94538,                0.34694,                0.99237,                0.51038,                0.50312,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.4514,                0.88512,                0.93745,                 0.7344,                0.92308,                0.79861,                0.31752,                 1.0125,                0.50083,                0.50331,               0.000416,               0.000416,               0.000416
                     83,                 1.2367,                0.78997,                0.84514,                0.85495,                0.90774,                0.80515,                0.25019,                 1.1592,                0.56665,                0.53273,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.5888,                 0.9305,                0.93721,                0.85664,                0.91957,                0.82713,                0.24955,                 1.1922,                0.56397,                0.54422,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.4805,                0.81762,                0.91223,                0.85384,                0.92308,                 0.8273,                0.27924,                  1.174,                0.54201,                0.54264,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.2473,                 0.7958,                0.82244,                0.85611,                0.91583,                0.82764,                0.24348,                 1.2068,                0.54509,                0.55153,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.2121,                 0.6938,                0.81679,                0.85526,                0.90991,                0.82944,                0.27527,                 1.1952,                0.53738,                0.55031,               0.000317,               0.000317,               0.000317
                     88,                 1.3094,                0.77165,                0.88779,                0.92856,                0.99989,                0.96786,                0.34894,                 1.0787,                0.47618,                0.52772,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.1717,                0.73864,                0.83526,                0.90865,                      1,                0.96786,                0.39853,                 1.0587,                0.46489,                0.51571,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.2745,                0.79412,                0.90673,                 0.9055,                0.84615,                0.89707,                0.34954,                 1.1093,                0.48092,                0.52595,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.3279,                0.77175,                0.88401,                0.84496,                0.83901,                0.76991,                0.31711,                 1.1372,                0.49319,                0.53653,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.3463,                 0.8632,                0.90005,                0.92805,                      1,                0.96214,                0.38332,                 1.0444,                0.45898,                0.51369,               0.000218,               0.000218,               0.000218
                     93,                 1.1797,                0.71359,                0.86523,                0.92249,                      1,                0.96214,                 0.4327,                0.99933,                0.44659,                0.50314,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.2383,                0.77381,                0.88151,                0.91848,                      1,                0.96214,                0.39643,                0.98021,                0.43983,                0.49942,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.2104,                 0.7452,                0.88753,                0.91272,                      1,                0.97857,                0.43449,                0.96292,                0.42853,                0.49626,              0.0001586,              0.0001586,              0.0001586
                     96,                  1.263,                 0.7592,                0.90824,                0.91461,                      1,                0.97857,                0.43818,                0.95836,                0.42192,                0.49556,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.1409,                0.75028,                0.89562,                0.91541,                      1,                0.97857,                0.45431,                0.95977,                0.42044,                0.49615,               0.000119,               0.000119,               0.000119
                     98,                 1.1849,                0.71973,                0.85357,                0.92076,                      1,                0.97857,                0.44956,                0.97325,                0.42468,                 0.4988,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.1809,                0.68678,                0.90619,                0.89907,                      1,                0.97857,                0.44097,                0.98074,                0.42555,                0.50152,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.3403,                0.72734,                0.90558,                0.91122,                      1,                0.97857,                0.43433,                 1.0042,                0.43147,                0.50728,               5.96e-05,               5.96e-05,               5.96e-05
